"SEX"	"mage"	"grp"	"firstmar"	"pct"
2	79	"H"	0	0.0106
2	80	"H"	0	0.0076
2	81	"H"	0	0.0046
2	83	"H"	0	0.0148
2	84	"H"	0	0.0064
2	85	"H"	0	0.0102
2	90	"H"	0	0.0036
2	93	"H"	0	0.0055
1	15	"HS"	0	0.6807
1	16	"BS"	0	0.0054
1	16	"HS"	0	0.5311
1	17	"BS"	0	0.0192
1	17	"HS"	0	0.6968
1	18	"ADV"	0	0.029
1	18	"BS"	0	0.0575
1	18	"HS"	0	1.5213
1	19	"ADV"	0	0.0522
1	19	"BS"	0	0.1246
1	19	"HS"	0	2.0893
1	20	"ADV"	0	0.1188
1	20	"BS"	0	0.3607
1	20	"HS"	0	2.5869
1	21	"ADV"	0	0.1825
1	21	"BS"	0	1.1698
1	21	"HS"	0	3.4055
1	22	"ADV"	0	0.7097
1	22	"BS"	0	2.7636
1	22	"HS"	0	3.8499
1	23	"ADV"	0	1.4936
1	23	"BS"	0	3.7221
1	23	"HS"	0	4.3109
1	24	"ADV"	0	2.6539
1	24	"BS"	0	4.8084
1	24	"HS"	0	4.0441
1	25	"ADV"	0	3.9398
1	25	"BS"	0	5.506
1	25	"HS"	0	4.0535
1	26	"ADV"	0	5.4924
1	26	"BS"	0	6.4597
1	26	"HS"	0	3.9397
1	27	"ADV"	0	6.4545
1	27	"BS"	0	6.8633
1	27	"HS"	0	4.149
1	28	"ADV"	0	7.371
1	28	"BS"	0	6.2078
1	28	"HS"	0	4.0741
1	29	"ADV"	0	7.2157
1	29	"BS"	0	6.4652
1	29	"HS"	0	3.8454
1	30	"ADV"	0	6.4358
1	30	"BS"	0	5.6211
1	30	"HS"	0	3.6462
1	31	"ADV"	0	5.9688
1	31	"BS"	0	5.0224
1	31	"HS"	0	3.3304
1	32	"ADV"	0	4.6809
1	32	"BS"	0	3.894
1	32	"HS"	0	3.0839
1	33	"ADV"	0	3.5947
1	33	"BS"	0	3.7601
1	33	"HS"	0	2.8745
1	34	"ADV"	0	3.3888
1	34	"BS"	0	3.1903
1	34	"HS"	0	2.8439
1	35	"ADV"	0	3.1985
1	35	"BS"	0	2.8206
1	35	"HS"	0	2.5616
1	36	"ADV"	0	2.4928
1	36	"BS"	0	2.6056
1	36	"HS"	0	2.306
1	37	"ADV"	0	2.2793
1	37	"BS"	0	2.0313
1	37	"HS"	0	2.1797
1	38	"ADV"	0	2.0554
1	38	"BS"	0	1.9158
1	38	"HS"	0	2.2805
1	39	"ADV"	0	2.0056
1	39	"BS"	0	1.8087
1	39	"HS"	0	2.1251
1	40	"ADV"	0	1.5884
1	40	"BS"	0	1.7579
1	40	"HS"	0	2.0096
1	41	"ADV"	0	1.4664
1	41	"BS"	0	1.4893
1	41	"HS"	0	1.8429
1	42	"ADV"	0	1.7643
1	42	"BS"	0	1.3544
1	42	"HS"	0	1.74
1	43	"ADV"	0	1.5938
1	43	"BS"	0	1.1788
1	43	"HS"	0	1.5587
1	44	"ADV"	0	1.2015
1	44	"BS"	0	1.2113
1	44	"HS"	0	1.6012
1	45	"ADV"	0	1.2712
1	45	"BS"	0	1.123
1	45	"HS"	0	1.62
1	46	"ADV"	0	1.174
